Track ID,Title,Artist,Composer,Album,Genre,Release Date,Kind,Total Time (ms),Date Modified,Date Added,Release Date (Raw),Date Modified (Raw),Date Added (Raw)
5253,Wanna Know,Mya Lanae,"Ethan Smith Jr., Abel Herrera & Mya Smith",Wanna Know - Single,R&B/Soul,2022-03-18 12:00:00,Apple Music AAC audio file,178573,2025-03-16 18:40:25,,2022-03-18T12:00:00Z,2025-03-16T18:40:25Z,
5251,Anxiety,Megan Thee Stallion,Kevin Price & Megan Pete,Traumazine,Hip-Hop/Rap,2022-08-12 07:00:00,Apple Music AAC audio file,135867,2025-03-16 18:32:18,,2022-08-12T07:00:00Z,2025-03-16T18:32:18Z,
5171,Villain Era,Peachkka,Nikkole Maresa Baker & Kerby Joseph,Villain Era - Single,Hip-Hop/Rap,2022-03-05 12:00:00,Apple Music AAC audio file,150079,2025-03-10 16:29:07,2025-03-10 16:29:07,2022-03-05T12:00:00Z,2025-03-10T16:29:07Z,2025-03-10T16:29:07Z
5153,Innerstood,Shariya Wise,Ashlee Shariya Lombard,Baddie Affirmations,Hip-Hop/Rap,2024-11-22 12:00:00,Apple Music AAC audio file,147879,2025-03-10 15:50:16,2025-03-10 15:50:16,2024-11-22T12:00:00Z,2025-03-10T15:50:16Z,2025-03-10T15:50:16Z
5157,Sweet Like Candyland,Shariya Wise,Ashlee Shariya Lombard,Baddie Affirmations,Hip-Hop/Rap,2024-11-22 12:00:00,Apple Music AAC audio file,187826,2025-03-10 15:50:16,2025-03-10 15:50:16,2024-11-22T12:00:00Z,2025-03-10T15:50:16Z,2025-03-10T15:50:16Z
5159,Abundi Run (feat. Mello Will),Shariya Wise,Ashlee Shariya Lombard & Dante Williams,Baddie Affirmations,Hip-Hop/Rap,,Apple Music AAC audio file,161884,2025-03-10 15:50:16,,,2025-03-10T15:50:16Z,
5161,Mission,Shariya Wise,Ashlee Shariya Lombard,Baddie Affirmations,Hip-Hop/Rap,,Apple Music AAC audio file,229412,2025-03-10 15:50:16,2025-03-10 15:50:16,,2025-03-10T15:50:16Z,2025-03-10T15:50:16Z
5163,Matron Money Machine,Shariya Wise,Ashlee Shariya Lombard,Baddie Affirmations,Hip-Hop/Rap,,Apple Music AAC audio file,149647,2025-03-10 15:50:16,,,2025-03-10T15:50:16Z,
5151,Inflorescence,Shariya Wise,Ashlee Shariya Lombard,Baddie Affirmations,Hip-Hop/Rap,2024-11-22 12:00:00,Apple Music AAC audio file,109286,2025-03-10 15:50:16,2025-03-10 15:50:16,2024-11-22T12:00:00Z,2025-03-10T15:50:16Z,2025-03-10T15:50:16Z
5155,Feeling Myself,Shariya Wise,Ashlee Shariya Lombard,Baddie Affirmations,Hip-Hop/Rap,,Apple Music AAC audio file,126316,2025-03-10 15:50:16,,,2025-03-10T15:50:16Z,
