,playlist,track_id,year,Title,Artist,Album,Genre,spotify_id,popularity,Genre2
0,Replay 2015,1424,2015,Highway Don't Care (feat. Taylor Swift & Keith Urban),Tim McGraw,,,4wFUdSCer8bdQsrp1M90sa,66.0,
1,Replay 2015,1412,2015,I Knew You Were Trouble,Taylor Swift,,,6FB3v4YcR57y4tXFcdxI1E,77.0,Country
2,Replay 2015,3587,2015,Girl Crush,Little Big Town,Pain Killer,Country,11qh54D0PKkBwelpDxxiEU,68.0,Country
3,Replay 2015,1506,2015,Sangria,Blake Shelton,,,0p1HtkrNYxv0iDfEKwXSTp,68.0,Country
4,Replay 2015,2247,2015,Forever & Always,Randy Travis,,,1ipcb9qXpSHWhSUvdxJhsx,77.0,
5,Replay 2015,2257,2015,Love Story,Taylor Swift,,,3CeCwYWvdfXbZLXFhBrbnf,78.0,Country
6,Replay 2015,2783,2015,Yoga,Janelle Monáe & Jidenna,Wondaland Presents: The Eephus - EP,R&B/Soul,3IJCSQoLF4YzPAKaxq2JLb,50.0,R&B/Soul
7,Replay 2015,3615,2015,Sure Be Cool If You Did,Blake Shelton,Based On a True Story... (Deluxe Version),Country,5yIiXdLRE85OBiQmCaUenq,56.0,Country
8,Replay 2015,4701,2015,Honey Bee,Blake Shelton,Red River Blue,Country,0gY2iq0xJPRoIB1PScKSw4,66.0,Country
9,Replay 2015,2941,2015,Our Song,Taylor Swift,,,15DeqWWQB4dcEWzJg15VrN,70.0,Country
10,Replay 2015,2321,2015,Hillbilly Bone (feat. Trace Adkins),Blake Shelton,,,7dL2kSVsBelmkQHbkNkx1l,53.0,Country
11,Replay 2015,2877,2015,Mine Would Be You,Blake Shelton,,,1zvQt99d5oTkEQLmSoO1yu,61.0,Country
12,Replay 2015,2212,2015,Back to December,Taylor Swift,,,79uDOz0zuuWS7HWxzMmTa2,73.0,Country
13,Replay 2015,2939,2015,Need You Now,Lady A,,,11EX5yhxr9Ihl3IN1asrfK,73.0,
14,Replay 2015,3279,2015,We Are Never Ever Getting Back Together,Taylor Swift,Red,Country,5YqltLsjdqFtvqE7Nrysvs,74.0,Country
15,Replay 2015,2881,2015,Doin' What She Likes,Blake Shelton,,,1MDogqDrStFSO9cdUTUFem,52.0,Country
16,Replay 2015,3105,2015,Photograph,Ed Sheeran,x (Deluxe Edition),Singer/Songwriter,6fxVffaTuwjgEk5h9QyRjy,71.0,Singer/Songwriter
17,Replay 2015,3091,2015,The A Team,Ed Sheeran,+ (Deluxe Version),Singer/Songwriter,1VdZ0vKfR5jneCmWIUAMxK,73.0,Singer/Songwriter
18,Replay 2015,2138,2015,Play It Again,Luke Bryan,,,03fT3OHB9KyMtGMt2zwqCT,77.0,
