,apple_id,spotify_id,artist,title,popularity
0,1424,4wFUdSCer8bdQsrp1M90sa,Tim McGraw,Highway Don't Care,66
1,1412,6FB3v4YcR57y4tXFcdxI1E,Taylor Swift,I Knew You Were Trouble.,77
2,3587,11qh54D0PKkBwelpDxxiEU,Little Big Town,Girl Crush,68
3,1506,0p1HtkrNYxv0iDfEKwXSTp,Blake Shelton,Sangria,68
4,2247,1ipcb9qXpSHWhSUvdxJhsx,Randy Travis,"Forever and Ever, Amen",77
5,2257,3CeCwYWvdfXbZLXFhBrbnf,Taylor Swift,Love Story (Taylor’s Version),78
6,2783,3IJCSQoLF4YzPAKaxq2JLb,Janelle Monáe,Yoga,50
7,3615,5yIiXdLRE85OBiQmCaUenq,Blake Shelton,Sure Be Cool If You Did,56
8,4701,0gY2iq0xJPRoIB1PScKSw4,Blake Shelton,Honey Bee,66
9,2941,15DeqWWQB4dcEWzJg15VrN,Taylor Swift,Our Song,70
10,2321,7dL2kSVsBelmkQHbkNkx1l,Blake Shelton,Hillbilly Bone (feat. Trace Adkins),53
11,2877,1zvQt99d5oTkEQLmSoO1yu,Blake Shelton,Mine Would Be You,61
12,2212,79uDOz0zuuWS7HWxzMmTa2,Taylor Swift,Back To December (Taylor's Version),73
13,2939,11EX5yhxr9Ihl3IN1asrfK,Lady A,Need You Now,73
14,3279,5YqltLsjdqFtvqE7Nrysvs,Taylor Swift,We Are Never Ever Getting Back Together (Taylor's Version),74
15,2881,1MDogqDrStFSO9cdUTUFem,Blake Shelton,Doin' What She Likes,52
16,3105,6fxVffaTuwjgEk5h9QyRjy,Ed Sheeran,Photograph,71
17,3091,1VdZ0vKfR5jneCmWIUAMxK,Ed Sheeran,The A Team,73
18,2138,03fT3OHB9KyMtGMt2zwqCT,Luke Bryan,Play It Again,77
19,3061,1huvTbEYtgltjQRXzrNKGi,Ed Sheeran,Don't,71
20,3607,4YjjNHtEsTX6Af4mCTupT5,Rascal Flatts,Bless The Broken Road,72
21,2269,2OXidlnDThZR3zf36k6DVL,Lady A,Just A Kiss,66
22,3297,05GsNucq8Bngd9fnd4fRa0,Taylor Swift,Begin Again (Taylor's Version),69
23,1798,530J9GupahE2O4a1iVkQxB,Jidenna,Classic Man (feat. Kendrick Lamar) - Remix,49
24,1568,1DgtQlVNotingln271ZKCx,Chris Stapleton,White Horse,77
25,3111,1Slwb6dOYkBlWal1PGtnNg,Ed Sheeran,Thinking out Loud,68
26,1664,2YlZnw2ikdb837oKMKjBkW,Meghan Trainor,Like I'm Gonna Lose You (feat. John Legend),81
27,1858,3G7XYAwtxtoGK7fAm4IlD9,Jidenna,Classic Man (feat. Roman GianArthur),58
28,1828,7AsODjpT6JoDYa04o1d1F7,Alessia Cara,Here - Live Off The Floor (Bonus Track),25
29,3049,12B0Twa9kRz45Xw2PgXHJm,Ed Sheeran,Afire Love,57
30,3287,30Y4CV7A6YqtQtTTo7Ue4j,Taylor Swift,Mean (Taylor's Version),68
31,1810,5ubHAQtKuFfiG4FXfLP804,Ed Sheeran,Lego House,72
32,2132,6OGS2JJM14gkWDE9bOEk7k,Jason Aldean,Tonight Looks Good on You,65
33,2857,3duP6mBVDsHM8ioN7o7dAK,Little Big Town,Boondocks,66
34,1536,4B0JvthVoAAuygILe3n4Bs,Justin Bieber,What Do You Mean?,83
35,3251,70eDxAyAraNTiD6lx2ZEnH,Elle King,Ex's & Oh's,74
36,2831,0vFMQi8ZnOM2y8cuReZTZ2,Carrie Underwood,Blown Away,63
37,1692,0ygAYQQy7bfDN6gH640bbl,Ed Sheeran,Wake Me Up,51
38,1438,1qrpoAMXodY6895hGKoUpA,Taylor Swift,You Belong With Me (Taylor’s Version),81
39,3271,6sXK2Fq7Ibi3SN6qYyQgIG,Miranda Lambert,Fastest Girl in Town,49
40,1682,5Ukzlujip1Slqka5OY82YS,Ed Sheeran,U.N.I.,52
41,1668,0obzwoGjXdORtAwYWZ9s53,Ed Sheeran,Grade 8,50
42,4141,0DiWol3AO6WpXZgp0goxAV,Daft Punk,One More Time,80
