playlist,track_id,year
Replay 2015,1424,2015
Replay 2015,1412,2015
Replay 2015,3587,2015
Replay 2015,1506,2015
Replay 2015,2247,2015
Replay 2015,2257,2015
Replay 2015,2783,2015
Replay 2015,3615,2015
Replay 2015,4701,2015
Replay 2015,2941,2015
Replay 2015,2321,2015
Replay 2015,2877,2015
Replay 2015,2212,2015
Replay 2015,2939,2015
Replay 2015,3279,2015
Replay 2015,2881,2015
Replay 2015,3105,2015
Replay 2015,3091,2015
Replay 2015,2138,2015
Replay 2015,3061,2015
Replay 2015,3607,2015
Replay 2015,2269,2015
Replay 2015,3297,2015
Replay 2015,1798,2015
Replay 2015,1568,2015
Replay 2015,2116,2015
Replay 2015,3111,2015
Replay 2015,1664,2015
Replay 2015,1858,2015
Replay 2015,1828,2015
Replay 2015,3281,2015
Replay 2015,3049,2015
Replay 2015,3287,2015
Replay 2015,1810,2015
Replay 2015,3227,2015
Replay 2015,2132,2015
Replay 2015,2857,2015
Replay 2015,1536,2015
Replay 2015,3251,2015
Replay 2015,2831,2015
Replay 2015,1692,2015
Replay 2015,1438,2015
Replay 2015,3271,2015
Replay 2015,1682,2015
Replay 2015,1668,2015
Replay 2015,4141,2015
Replay 2015,3377,2015
Replay 2015,2146,2015
Replay 2015,2184,2015
Replay 2015,4055,2015
Replay 2015,1586,2015
Replay 2015,1490,2015
Replay 2015,1562,2015
Replay 2015,1368,2015
Replay 2015,2100,2015
Replay 2015,2110,2015
Replay 2015,2160,2015
Replay 2015,1582,2015
Replay 2015,3079,2015
Replay 2015,3067,2015
Replay 2015,3889,2015
Replay 2015,2102,2015
Replay 2015,2126,2015
Replay 2015,2148,2015
Replay 2015,1584,2015
Replay 2015,2192,2015
Replay 2015,3241,2015
Replay 2015,3081,2015
Replay 2015,1596,2015
Replay 2015,3203,2015
Replay 2015,2188,2015
Replay 2015,3143,2015
Replay 2015,2875,2015
Replay 2015,2871,2015
Replay 2015,2166,2015
Replay 2016,3237,2016
Replay 2016,3091,2016
